"config_num","exposure_mode","flash_mode","color_mode","width","height","whitebalance_mode","zoom","power","energy","radio","duration","quality"
"1","auto","auto","RGB12","1280","960","daylight","0","1163.561694","15.612658","bluetooth","67.287","17.8575"
"2","auto","auto","RGB12","1280","960","daylight","8","1173.538786","16.0607794","bluetooth","68.458","12.7267"
"3","auto","auto","RGB12","1280","960","daylight","16","1032.301856","13.2421496","bluetooth","64.142","11.2902"
"4","auto","auto","RGB12","1280","960","daylight","24","1026.155449","12.6220384","bluetooth","61.509","13.1073"
"5","auto","auto","RGB12","1280","960","daylight","32","1028.498638","12.4317916","bluetooth","60.446","15.7106"
"6","auto","auto","RGB12","1280","960","daylight","40","1111.798484","13.0072108","bluetooth","58.614","19.6164"
"7","auto","auto","RGB12","1280","960","daylight","48","1040.15364","11.3168798","bluetooth","54.589","15.7002"
"8","auto","auto","RGB12","1280","960","daylight","56","1023.203052","10.8985532","bluetooth","53.317","14.2212"
"9","auto","auto","RGB12","1280","960","daylight","64","1030.249447","10.5092402","bluetooth","51.103","16.3448"
"10","auto","auto","RGB12","1280","960","daylight","72","1027.18498","10.1200168","bluetooth","49.251","18.8618"
"11","auto","auto","RGB12","1280","960","fluorescent","0","1024.9111","13.5511174","bluetooth","66.165","22.0467"
"12","auto","auto","RGB12","1280","960","fluorescent","8","1015.207863","13.2611716","bluetooth","65.213","13.2017"
"13","auto","auto","RGB12","1280","960","fluorescent","16","1026.565681","12.9551714","bluetooth","63.311","12.002"
"14","auto","auto","RGB12","1280","960","fluorescent","24","1029.053119","13.2844906","bluetooth","64.563","13.2011"
"15","auto","auto","RGB12","1280","960","fluorescent","32","1031.422406","12.231943","bluetooth","59.386","16.1029"
"16","auto","auto","RGB12","1280","960","fluorescent","40","1039.507422","11.9277408","bluetooth","57.442","22.0185"
"17","auto","auto","RGB12","1280","960","fluorescent","48","1026.974707","11.1990692","bluetooth","54.518","15.3749"
"18","auto","auto","RGB12","1280","960","fluorescent","56","1026.834553","10.7644808","bluetooth","52.386","14.0139"
"19","auto","auto","RGB12","1280","960","fluorescent","64","1027.008908","10.4131376","bluetooth","50.613","16.1901"
"20","auto","auto","RGB12","1280","960","fluorescent","72","1024.134179","9.977976","bluetooth","48.74","18.5289"
"21","auto","auto","RGB12","1280","960","tungsten","0","1083.698947","14.7536792","bluetooth","68.148","19.0171"
"22","auto","auto","RGB12","1280","960","tungsten","8","1027.524499","13.5916978","bluetooth","66.115","12.6127"
"23","auto","auto","RGB12","1280","960","tungsten","16","1033.733297","13.3113832","bluetooth","64.453","11.7237"
"24","auto","auto","RGB12","1280","960","tungsten","24","1026.249211","12.7312032","bluetooth","62.13","12.0362"
"25","auto","auto","RGB12","1280","960","tungsten","32","1022.747306","12.2441792","bluetooth","59.946","14.091"
"26","auto","auto","RGB12","1280","960","tungsten","40","1007.290899","11.5845064","bluetooth","57.573","17.0005"
"27","auto","auto","RGB12","1280","960","tungsten","48","1024.995886","11.1725154","bluetooth","54.458","13.5473"
"28","auto","auto","RGB12","1280","960","tungsten","56","1012.594485","10.7921612","bluetooth","53.246","12.8075"
"29","auto","auto","RGB12","1280","960","tungsten","64","1023.811356","10.5351046","bluetooth","51.535","14.1319"
"30","auto","auto","RGB12","1280","960","tungsten","72","1028.339051","10.1017324","bluetooth","49.16","16.2242"
"31","auto","auto","RGB12","1280","960","auto","0","1034.266605","13.9492314","bluetooth","67.548","18.7582"
"32","auto","auto","RGB12","1280","960","auto","8","1011.934152","13.4153322","bluetooth","66.305","12.2684"
"33","auto","auto","RGB12","1280","960","auto","16","1010.616073","13.0588754","bluetooth","64.022","11.432"
"34","auto","auto","RGB12","1280","960","auto","24","1024.908531","12.9030166","bluetooth","62.94","13.1237"
"35","auto","auto","RGB12","1280","960","auto","32","1025.715491","12.4405378","bluetooth","60.648","15.7928"
"36","auto","auto","RGB12","1280","960","auto","40","1023.875173","11.6614654","bluetooth","57.002","20.6333"
"37","auto","auto","RGB12","1280","960","auto","48","1018.49914","11.0250786","bluetooth","54.148","15.7237"
