Number Energy Quality Ratio
1 12.212666 15.5728 1.27513517524
2 11.7979572 11.7649 0.997198057304
3 11.2637772 10.2725 0.911994246477
4 10.6383666 11.548 1.0855049872
5 10.9103684 12.8692 1.17953853877
6 10.0217798 14.9897 1.49571236838
7 9.1660726 13.2223 1.44252621346
8 9.0337836 12.6124 1.39613705159
9 8.7938176 13.726 1.56086930891
10 8.0559172 14.9851 1.86013580179
11 12.4588048 19.4731 1.56299904466
12 11.9295702 12.9455 1.08516063722
13 11.7197284 11.4109 0.973648843262
14 11.3776844 12.5935 1.10685966997
15 11.0013436 14.7347 1.33935458574
16 10.4511232 19.3473 1.85121729308
17 10.0582582 14.9512 1.48646015072
18 9.5849226 13.7897 1.4386866306
19 9.2840262 15.4288 1.66186519379
20 8.8927646 18.1719 2.04344777101
21 12.5035816 24.6022 1.967612224
22 11.984101 13.8595 1.15649058699
23 11.8165294 12.325 1.0430304519
24 11.38831 12.9048 1.13316198804
25 10.8942756 15.3764 1.41142014068
26 10.3885314 22.5277 2.16851633138
27 9.9491822 15.0694 1.51463705228
28 9.7572478 14.6464 1.50107902353
29 9.572824 16.8603 1.76126710363
30 9.808549 22.0387 2.24688687389
31 12.1701898 22.2822 1.83088352492
32 11.9508632 13.6968 1.14609294498
33 11.681355 12.3599 1.05808786737
34 10.6973952 11.5382 1.07859902194
35 10.2629796 12.7613 1.2434303192
36 9.868188 14.9012 1.51002392739
37 9.3151034 13.1627 1.41304926363
38 8.9585478 12.626 1.40938021227
39 8.6091948 13.6859 1.58968408985
40 8.779172 14.9165 1.69907822742
41 12.398137 11.9838 0.966580704827
42 11.7775632 0 0.0
43 11.10581 0 0.0
44 10.5399532 0 0.0
45 10.1159734 10.4176 1.02981686369
46 9.6135672 11.1522 1.16004806208
47 9.3063324 10.2999 1.10676253085
48 9.478099 10.1829 1.07436100847
49 8.5919186 10.7064 1.24610119095
50 8.291574 11.2469 1.3564252095
51 12.2605604 15.5629 1.26934654635
52 12.6904324 11.7145 0.923096993921
53 11.2806304 10.2674 0.910179629677
54 10.6569758 11.5876 1.08732535547
55 10.2970026 12.7993 1.24301221406
56 9.5787674 14.9454 1.56026338003
57 9.1182102 13.1835 1.44584295721
58 8.9488102 12.6156 1.40975165615
59 8.5983916 13.7267 1.59642647585
60 8.4215742 14.8823 1.76716367351
61 12.3900426 19.3585 1.56242400652
62 11.9062094 12.9275 1.08577798069
63 11.7164516 11.4117 0.973989428677
64 11.3441238 12.5865 1.10951715813
65 10.9462826 14.6843 1.34148738312
66 10.4708532 19.3055 1.84373705096
67 9.9199118 14.9309 1.50514443082
68 9.6122722 13.7952 1.43516535039
69 9.3120186 15.3416 1.6475053003
70 8.8596336 18.0901 2.04185644878
71 12.4299964 24.7059 1.98760315007
72 11.9452742 13.8675 1.16091935336
73 11.7311216 12.3078 1.04915799355
74 12.1849394 12.9194 1.06027609789
75 11.105997 15.3608 1.3831086034
76 10.6313622 22.5599 2.12201405385
77 9.950091 15.0683 1.51438815987
78 9.6180144 14.6489 1.52306904427
79 9.0246746 16.1734 1.792131098
80 9.0321828 21.7274 2.40555361656
81 12.3324914 22.3573 1.81287780991
82 11.9391848 13.706 1.14798457597
83 11.668436 12.3841 1.06133332693
84 10.6257214 11.5436 1.08638270904
85 10.209529 12.8003 1.25376009021
86 9.8107148 15.0341 1.53241637398
87 9.1951004 13.2324 1.43907074685
88 8.9618938 12.6374 1.41012606063
89 8.6012716 13.6852 1.59106706966
90 8.6888476 14.8438 1.70837384695
91 12.282448 11.9597 0.973722827892
92 11.682517 0 0.0
93 11.0525384 0 0.0
94 10.7729442 0 0.0
95 10.3596762 10.4076 1.00462599401
96 9.7184704 11.1196 1.14417182358
97 9.1042962 10.3107 1.13250928721
98 8.811553 10.1982 1.15736692499
99 8.5793544 10.6761 1.24439433345
100 8.6287 11.3172 1.31157648313
101 12.7841884 16.017 1.25287577896
102 11.7401966 11.7733 1.00281966317
103 11.217228 10.285 0.91689319322
104 10.7440434 11.6174 1.08128751602
105 10.336284 12.9383 1.25173611716
106 9.7861482 15.2941 1.56283143147
107 9.2849646 13.3103 1.43353265989
108 8.9405274 12.7128 1.42192953852
109 8.7051088 13.7347 1.57777465113
110 8.2512558 14.7547 1.7881762919
111 12.1773896 19.9791 1.64067182346
112 11.9953806 12.9858 1.08256673406
113 11.6859956 11.428 0.977922668395
114 11.353537 12.6087 1.11055259696
115 10.9583354 14.6416 1.33611533737
116 10.3982468 18.4757 1.7768091444
117 9.851791 14.7759 1.49981866241
118 9.6038662 13.9878 1.45647593466
119 9.1387644 15.5782 1.70462869138
120 8.8052938 16.8259 1.91088456356
121 12.6099098 28.7935 2.28340253473
122 12.0157392 13.8787 1.15504337844
123 11.9217038 12.3216 1.03354354434
124 11.3620556 12.5013 1.10026745512
125 11.0344494 14.9852 1.35803785552
126 10.543072 22.5267 2.13663531843
127 10.0806904 15.3029 1.51804086752
128 9.6323476 14.1739 1.47148967091
129 9.3485514 16.7715 1.79402126409
130 8.9647538 20.0951 2.24156741482
131 12.4156588 27.3507 2.20291975163
132 12.0639422 13.7939 1.14339904579
133 11.6943676 12.3801 1.05863783519
134 11.5376046 11.5982 1.00525199139
135 10.8134618 12.9449 1.19710969895
136 9.7595592 15.2169 1.55917902522
137 9.1597924 13.2544 1.44701969446
138 8.9852836 12.636 1.40629951847
139 8.6703484 13.7356 1.58420392888
140 8.5041724 14.7321 1.73233788158
141 12.0867208 12.3506 1.02183215815
142 11.7509256 0 0.0
143 10.9871202 0 0.0
144 10.8746034 0 0.0
145 10.2704498 10.3896 1.01160126405
146 9.6083278 11.2262 1.16838228604
147 9.112304 10.4049 1.14185172049
148 9.0504918 10.3564 1.14429140746
149 8.6375012 10.6697 1.23527623938
150 7.9664362 11.3146 1.42028376503
151 11.8941924 15.1135 1.27066214264
152 11.6994056 11.4953 0.982554190616
153 11.4186376 9.96022 0.872277442276
154 10.855041 11.505 1.0598762363
155 10.3590334 12.5796 1.21436040548
156 9.8779202 14.6475 1.48285263531
157 9.3131994 12.623 1.35538813869
158 9.1036584 12.4959 1.37262399916
159 8.8352594 13.542 1.53272240088
160 9.479352 14.9049 1.57235431283
161 12.033006 18.6409 1.5491474034
162 11.83501 12.6947 1.07263956684
163 11.593717 11.1367 0.960580631734
164 11.3387366 12.7122 1.12113019717
165 10.937156 14.5494 1.33027269612
166 10.4313628 19.1174 1.83268479551
167 9.974121 14.6528 1.46908183689
168 9.9859014 14.305 1.43251965216
169 10.4320054 15.9244 1.5264946086
170 8.9848232 18.794 2.09174956275
171 11.9741096 21.9339 1.8317771202
172 11.9252438 13.5513 1.13635412636
173 11.6130722 12.1082 1.04263538463
174 11.254113 13.2375 1.17623663455
175 10.973415 15.7438 1.43472200769
176 10.3155668 26.4055 2.55977209124
177 9.9230708 15.7589 1.5881071815
178 9.5749028 15.6447 1.63392781387
179 9.21961 18.0305 1.9556684068
180 8.8933952 24.8302 2.79198207677
181 12.2297578 20.1471 1.64738340117
182 12.0010954 13.2848 1.10696561916
183 11.720313 12.0455 1.02774559007
184 10.794415 11.5079 1.06609760696
185 10.4732542 12.5832 1.20146038277
186 9.8266054 14.697 1.49563347685
187 9.289818 12.6296 1.3595099495
188 9.2610516 12.4536 1.34472849714
189 8.8044942 13.4733 1.53027529963
190 8.3362418 14.8713 1.78393337871
191 12.5562484 11.7782 0.938034962736
