Number Energy Quality Ratio
1 15.612658 17.8575 1.14378346083
2 16.0607794 12.7267 0.79240861748
3 13.2421496 11.2902 0.852595714521
4 12.6220384 13.1073 1.03844558102
5 12.4317916 15.7106 1.2637438356
6 13.0072108 19.6164 1.50811732827
7 11.3168798 15.7002 1.38732585991
8 10.8985532 14.2212 1.30487044831
9 10.5092402 16.3448 1.55527894395
10 10.1200168 18.8618 1.86381113518
11 13.5511174 22.0467 1.62692856605
12 13.2611716 13.2017 0.995515358537
13 12.9551714 12.002 0.926425411863
14 13.2844906 13.2011 0.99372271
15 12.231943 16.1029 1.31646296913
16 11.9277408 22.0185 1.84599081831
17 11.1990692 15.3749 1.37287302413
18 10.7644808 14.0139 1.30186492599
19 10.4131376 16.1901 1.5547763433
20 9.977976 18.5289 1.85697981234
21 14.7536792 19.0171 1.28897339723
22 13.5916978 12.6127 0.927970897057
23 13.3113832 11.7237 0.8807274063
24 12.7312032 12.0362 0.945409464519
25 12.2441792 14.091 1.15083255234
26 11.5845064 17.0005 1.4675204461
27 11.1725154 13.5473 1.21255594779
28 10.7921612 12.8075 1.18674098382
29 10.5351046 14.1319 1.34141050674
30 10.1017324 16.2242 1.60608095301
31 13.9492314 18.7582 1.3447479264
32 13.4153322 12.2684 0.914505866653
33 13.0588754 11.432 0.875419946192
34 12.9030166 13.1237 1.0171032408
35 12.4405378 15.7928 1.26946280409
36 11.6614654 20.6333 1.7693573914
37 11.0250786 15.7237 1.42617577348
38 10.8792514 14.3062 1.31499856691
39 10.4953178 16.3311 1.55603673097
40 10.0329458 19.747 1.96821555639
41 13.3233916 14.2414 1.0689020054
42 13.2384324 10.9742 0.828965217966
43 12.9430298 0 0.0
44 12.3520748 11.9414 0.966752565326
45 12.116473 13.5299 1.11665333633
46 11.4465084 15.6422 1.36654772385
47 11.8037332 13.6909 1.15987880851
48 10.9434104 13.2865 1.21410963442
49 10.0403306 14.6331 1.45743208894
50 9.7120648 15.9138 1.63855990747
51 13.3946796 18.7029 1.39629319689
52 13.2991694 12.5398 0.942900990493
53 13.1454186 11.4061 0.867686328376
54 12.7368732 13.1279 1.03070037629
55 12.9321028 15.7929 1.22121670731
56 11.6979916 20.8231 1.78005769811
