Number Energy Quality Ratio
1 8.0737128 18.7159 2.31812803646
2 8.181572 12.5811 1.53773626878
3 8.0311772 11.5847 1.44246599365
4 7.86342 13.1168 1.6680782662
5 7.4244274 15.4561 2.0817901728
6 7.2132738 21.7081 3.0094656881
7 7.117006 15.6244 2.19536136403
8 7.2151486 14.4949 2.00895377262
9 7.221416 15.9908 2.21435795971
10 7.086912 20.0214 2.82512326949
11 7.9601376 22.7344 2.85603103142
12 7.9939482 13.2224 1.65405124842
13 7.9385998 11.9706 1.50789815605
14 7.6646024 13.1528 1.71604465745
15 7.4589256 15.8041 2.11881721947
16 7.4245086 23.8335 3.21011144091
17 7.2381468 15.7785 2.17990881312
18 7.1342908 14.2477 1.99707306576
19 7.1016492 16.5975 2.33713318309
20 6.821008 21.1673 3.1032510151
21 8.9720376 19.4339 2.16605200139
22 8.495969 12.618 1.4851749106
23 8.0428646 11.9075 1.48050484401
24 7.810989 12.1069 1.54998297911
25 7.620106 13.9437 1.82985643507
26 7.2916596 17.7307 2.43164121375
27 7.078955 13.7831 1.94705291953
28 7.089431 13.5478 1.91098552197
29 7.1508502 14.6909 2.05442703862
30 7.1045812 17.6518 2.4845658742
31 8.3169544 18.8534 2.26686345665
32 8.2019286 12.2776 1.49691622529
33 8.0690548 11.605 1.43821058199
34 7.9861636 13.1141 1.64210259855
35 7.5443674 15.4616 2.04942299072
36 7.2276348 21.5945 2.98776855743
37 7.2720582 15.6251 2.14864892033
38 7.0617808 14.4893 2.05179124223
39 7.0993066 15.9665 2.24902246087
40 6.7061018 19.9624 2.97675170991
41 7.9885394 14.2329 1.78166486855
42 8.0416442 11.0219 1.3706027929
43 8.0249874 10.1861 1.26929794307
44 7.6370962 11.6933 1.53111859453
45 7.330998 13.0863 1.78506391626
46 7.1374394 15.3194 2.14634396756
47 7.0558294 13.2739 1.88126714061
48 7.068702 13.3573 1.88963971037
49 7.1057584 14.4271 2.03033922459
50 6.5410976 15.3814 2.35150137494
51 8.083385 18.7026 2.31370892269
52 8.3400738 12.5757 1.50786435487
53 8.6481138 11.5703 1.33789867566
54 8.023292 13.1225 1.63555059444
55 7.4782482 15.463 2.06773024731
56 7.192425 21.5833 3.00083768687
57 7.098665 15.6114 2.19920224437
58 7.1707108 14.4915 2.0209293617
59 7.128254 16.0157 2.24679143027
60 7.0757378 20.1109 2.84223363958
61 8.0751132 22.7212 2.81373145333
62 8.109509 13.2234 1.63060426963
63 7.9679142 12.1269 1.52196668985
64 7.8760704 13.1473 1.66927151895
65 7.4967142 15.7985 2.10738992824
66 7.3660964 23.8257 3.23450830755
67 7.2263184 15.8215 2.18942746835
68 7.1252762 14.2298 1.99708749536
69 7.1537044 16.6182 2.32302022432
70 7.0833662 21.2393 2.99847549884
71 8.1599944 19.4496 2.38353104752
72 8.0694948 12.7655 1.58194537779
