#Number Energy Quality Ratio
1 81.079026 89.057868 1.09840821225
2 21.998356 35.042291 1.59295044593
3 68.073508 54.052249 0.794027670794
4 92.937302 71.926834 0.773928578215
5 50.061845 72.088064 1.43998016853
6 30.020845 64.953824 2.16362410852
7 17.086412 57.03743 3.33817480229
8 27.949805 38.980801 1.39467166229
9 19.096889 92.973441 4.86851240535
10 22.987419 1.909479 0.083066263333
11 85.03835 63.06478 0.741603993963
12 55.016725 6.094426 0.11077406007
13 67.031667 11.035998 0.16463857299
14 57.049263 34.087207 0.597504774076
15 98.050172 27.083809 0.276223982555
16 52.063945 84.097589 1.61527500461
17 18.089606 35.028022 1.93636179804
18 42.973661 18.09133 0.420986473552
19 22.022235 37.014421 1.68077495313
20 4.935905 39.070408 7.9155510489
21 89.039028 58.024598 0.65167600437
22 48.923435 44.0441 0.900265895066
23 40.052919 63.995313 1.59776901654
24 47.008075 76.04514 1.61770376685
25 75.912904 94.948624 1.25075736794
26 30.972865 13.976133 0.451237978792
27 38.977724 58.946413 1.51231028779
28 92.926339 85.070012 0.915456402517
29 57.912809 73.006089 1.2606207549
30 77.946435 39.031475 0.500747404291
31 51.074019 44.958919 0.880269849138
32 53.012 67.042277 1.26466228401
33 63.93815 8.044841 0.12582223602
34 49.035019 19.079991 0.389109485203
35 11.065688 91.002881 8.22387916594
36 66.95337 59.07032 0.882260594202
37 4.931978 74.080429 15.0204297343
38 19.966196 18.96512 0.949861455833
39 23.971218 18.988192 0.79212462212
40 9.924037 18.993021 1.91384020434
41 32.004434 3.968678 0.124004005195
42 93.996656 82.975637 0.882750945949
43 12.927994 88.033416 6.80951863066
44 24.931434 38.91701 1.5609615556
45 56.906364 90.017353 1.5818503709
46 30.911647 42.968971 1.3900576375
47 95.970659 94.912778 0.988977037242
48 49.030874 47.983191 0.978632177758
49 16.962127 74.034881 4.36471681883
50 64.982754 42.024423 0.646701169359
51 55.032524 34.987763 0.6357651886
52 87.044868 9.978937 0.114641302001
53 17.051723 52.940901 3.10472443166
54 48.912783 13.011459 0.266013467277
55 32.09051 23.038005 0.717907100884
56 40.912286 12.02439 0.293906578576
57 12.956291 0.968921 0.0747838250932
58 1.095009 66.974944 61.1638297037
59 0.900661 59.991851 66.6086918385
60 1.919847 34.96222 18.2109407677
61 77.006872 61.96171 0.804625722234
62 65.017121 29.905634 0.459965522005
63 37.960766 78.09696 2.05730727351
64 41.07097 33.004556 0.803598161913
65 51.06957 9.060375 0.177412400379
66 44.939414 38.090853 0.847604577131
67 35.05585 37.022691 1.05610592811
68 1.083214 66.98323 61.837485483
69 56.950153 65.96876 1.15835966235
70 10.064748 80.034088 7.95192169739
71 96.90897 64.909354 0.669797171511
72 51.096792 60.907435 1.19200115342
73 16.065328 47.988015 2.98705479278
74 34.066518 14.068911 0.412983534155
75 64.048672 36.956675 0.577009231355
76 12.036245 43.970814 3.65320031289
77 26.970034 99.072235 3.6734189879
78 10.91089 91.023094 8.34240781458
79 54.096857 55.082301 1.01821628935
80 62.043617 97.985595 1.57930178378
81 91.049604 18.053591 0.198283026031
82 52.972667 90.048594 1.69990674625
83 38.08927 94.976936 2.49353521346
84 2.002089 71.914366 35.91966491
85 3.911401 82.953623 21.208161219
86 70.905041 92.938789 1.3107500918
87 66.096132 27.918116 0.422386532392
88 27.945111 76.020451 2.72034886532
89 64.00524 51.014223 0.797031977382
90 49.024593 12.948238 0.264117195221
91 76.032991 55.909447 0.735331416858
92 16.004465 38.989598 2.4361700313
93 53.094657 24.92352 0.469416724926
94 7.959443 0.928318 0.116631025563
95 75.900142 28.913692 0.380943845929
96 3.946064 37.928777 9.61179975794
97 65.038463 49.907167 0.76734849961
98 97.010529 67.986574 0.700816444368
99 79.089983 2.016927 0.0255016744662
100 65.905047 50.972222 0.773419097933
101 47.021702 39.930082 0.849184106522
102 61.955447 5.071199 0.0818523510935
103 70.057238 16.938333 0.2417784869
104 13.998957 47.056906 3.36145800005
105 7.008495 71.090894 10.1435320993
106 80.983063 33.993446 0.419759944126
107 91.009112 36.982982 0.406365705447
108 65.081639 49.033365 0.753413186168
109 1.040643 69.053641 66.3567054216
110 89.089138 52.057388 0.584329236635
111 2.995718 41.013168 13.6905970455
112 25.98792 20.011205 0.770019493672
113 65.95038 11.046059 0.167490452671
114 67.067721 21.082323 0.314343810788
115 72.048623 69.910573 0.970324901282
116 21.051533 75.038487 3.56451413776
117 88.068628 14.049708 0.159531360021
118 32.934579 97.041807 2.94650212471
119 77.993192 97.021405 1.24397274316
120 56.099673 15.003819 0.26744931294
121 37.061669 27.963884 0.754523062628
122 44.095661 31.925011 0.723994385751
123 10.074329 67.974264 6.74727458275
124 10.048831 84.973262 8.45603453775
125 56.02959 9.938161 0.177373437857
126 76.966661 94.972855 1.23394796872
127 62.916069 4.099368 0.0651561368209
128 92.924115 18.0317 0.194047583881
129 33.093541 34.907024 1.05479869924
130 23.050259 76.932602 3.33760249722
131 86.962966 36.96475 0.425063123997
132 72.912905 71.007368 0.973865572905
133 6.022969 6.083131 1.00998876136
134 94.959978 53.926419 0.567885757092
135 40.027875 73.034047 1.82457967104
136 35.082396 79.948084 2.2788661299
137 51.973901 44.094339 0.848393869839
138 14.943365 62.97312 4.21411910905
139 93.955827 55.065549 0.586079126311
140 9.063657 88.073658 9.71723201794
141 4.025739 23.913889 5.94024823765
142 59.927556 52.942105 0.883435076178
143 23.942786 36.056036 1.50592483264
144 83.953106 67.912091 0.80892886798
145 54.938231 85.902797 1.56362510107
146 88.97972 62.097728 0.697886304879
147 20.005466 99.098901 4.95359123352
148 52.04832 88.026866 1.69125278203
149 66.081259 3.017089 0.045657256621
150 22.910265 26.952434 1.17643484263
151 46.929014 9.051876 0.192884427531
152 80.915205 84.960561 1.04999500403
153 7.957867 93.015737 11.6885262093
154 50.083845 99.041594 1.97751578378
155 31.04839 67.967406 2.18907988466
156 70.04857 7.993526 0.114114049723
157 86.97147 24.92691 0.286610195274
158 46.913332 22.917715 0.488511773157
159 94.069163 4.021071 0.0427458996313
160 95.038488 22.09386 0.232472764087
161 31.025374 7.974366 0.257027231968
162 45.987213 53.002806 1.15255529836
163 24.994401 86.991112 3.48042395575
164 76.986054 75.923304 0.986195551729
165 79.095105 3.055943 0.0386363100473
166 49.014761 46.932322 0.957514043576
167 63.946261 28.984506 0.453263498862
168 38.029308 85.038076 2.2361194687
169 62.003894 67.087932 1.08199546306
170 37.05851 91.97457 2.48187447364
171 77.970446 74.09519 0.95029839896
172 69.039085 56.031932 0.811597256829
173 92.938532 55.967392 0.602197934437
174 75.004819 26.926806 0.359001012988
175 66.025496 71.033187 1.07584480698
176 90.953591 35.058221 0.385451751982
177 13.054521 28.080689 2.15103173835
178 55.027234 65.078876 1.18266667738
179 40.052201 67.919561 1.69577599493
180 33.981804 48.97593 1.44123984707
181 87.975394 34.902655 0.396732011226
182 85.927456 17.912419 0.208459784961
183 37.903067 11.067568 0.291996634468
184 85.925705 13.964402 0.162517165265
185 77.938314 68.993786 0.885235803279
186 22.981253 72.075822 3.13628773853
187 10.001866 47.097622 4.70888352233
188 87.06529 75.05229 0.862023086353
189 41.974009 79.013097 1.88242912418
190 18.002677 45.05671 2.5027783368
191 7.012877 26.064611 3.71667876108
192 49.981891 45.046711 0.901260638578
193 68.931201 96.951451 1.40649589146
194 74.086036 66.945639 0.903620204488
195 75.938921 99.061895 1.30449437121
196 47.08954 73.951747 1.57044955207
197 80.910774 20.085891 0.248247421289
198 13.981463 93.096106 6.65853823738
199 71.098447 40.097323 0.563969041405
200 98.021229 63.902488 0.651924982495
201 90.910737 50.080541 0.550875976289
202 47.982062 8.037872 0.16751826964
203 12.024951 34.044418 2.8311481685
204 3.018509 3.029469 1.0036309317
205 69.981456 82.072605 1.17277647096
206 41.037245 20.095237 0.489682896598
207 15.00771 98.030832 6.53203133589
208 34.976043 22.937946 0.655818784303
209 69.091148 85.020845 1.23056060669
210 80.069999 89.974318 1.12369575526
211 19.026705 81.996409 4.30954329717
212 45.995299 36.005439 0.782806934248
213 42.981763 76.047928 1.76930685696
214 88.073059 44.911687 0.509936721966
215 3.00666 67.071507 22.3076460258
216 27.904731 99.086098 3.55087092579
