#Number Energy Quality Ratio
1 90.042373 30.023487 0.333437314008
2 9.981555 59.980359 6.00911972133
3 79.974133 29.930449 0.374251622084
4 29.987379 59.90912 1.99781114582
5 90.09756 60.034773 0.666330730821
6 30.014448 30.017699 1.0001083145
7 89.959969 50.056732 0.556433406508
8 9.900139 10.03332 1.01345243738
9 60.089271 29.932566 0.498134949915
10 19.970766 69.907799 3.50050664056
11 19.954265 80.018447 4.01009242886
12 19.947524 9.929411 0.497776616286
13 89.915767 90.015539 1.00110961629
14 10.094632 49.962091 4.94937220099
15 29.982098 60.065248 2.00337041124
16 59.908422 79.922597 1.33407948886
17 79.999425 10.058204 0.125728453673
18 30.036038 69.971965 2.32960036207
19 40.030969 80.055887 1.99984884203
20 30.068967 39.944755 1.32843788747
21 49.992129 90.05965 1.80147658844
22 79.923442 19.919287 0.249229593991
23 59.993882 30.001232 0.50007152396
24 20.055543 50.000525 2.49310253031
25 59.946532 70.083077 1.16909310117
26 80.039963 29.971456 0.374456145113
27 9.923438 20.013312 2.01677200986
28 9.908775 19.902055 2.00852829941
29 30.097464 9.939153 0.330232241494
30 40.080703 10.006581 0.24966081558
31 69.951543 40.00137 0.57184399778
32 40.097182 59.948962 1.49509165008
33 50.012187 90.015138 1.79986406113
34 30.026574 50.067633 1.66744407804
35 9.99165 79.990843 8.00576911721
36 60.071592 80.050515 1.33258520933
37 10.097509 79.911113 7.91394323095
38 19.939657 20.070245 1.0065491598
39 10.069992 79.906007 7.93506161673
40 9.942307 29.919628 3.00932449581
41 9.949781 80.078491 8.04826669049
42 59.995454 80.034829 1.33401489053
43 29.925353 79.934046 2.67111455628
44 30.051684 10.002035 0.332827770983
45 10.069108 79.973095 7.94242101684
46 90.065302 30.009196 0.333193753128
47 49.975207 39.9857 0.800110742913
48 9.979602 29.920099 2.99812547635
49 79.996993 39.963575 0.499563464842
50 20.075484 20.085284 1.0004881576
51 10.012061 39.946781 3.98986592271
52 50.066325 79.936809 1.59661826587
53 90.033055 29.959331 0.332759240481
54 60.07478 60.05041 0.999594338922
55 59.923087 29.919577 0.49929966058
56 89.945504 20.062897 0.223056140749
57 19.984579 20.057211 1.00363440231
58 60.03084 19.963622 0.332556099498
59 20.081242 50.019323 2.49084807603
60 60.018895 60.039652 1.00034584109
61 50.02815 29.926099 0.598185201731
62 30.003512 80.057113 2.66825806926
63 80.033771 10.017385 0.125164475881
64 69.97785 39.967753 0.571148627744
65 9.981461 69.926225 7.00561020075
66 39.909867 19.960973 0.500151328492
67 69.972614 79.902149 1.14190601769
68 89.980378 20.089053 0.223260375723
69 39.977264 40.076733 1.00248813926
70 49.919612 90.004811 1.80299500325
71 90.040446 59.91457 0.665418405413
72 30.059828 50.063857 1.66547383438
73 9.954321 59.972861 6.02480681505
74 90.003544 29.999844 0.333318474659
75 29.950807 40.075903 1.33805753548
76 50.071194 29.982218 0.5987917524
77 50.043457 89.978533 1.79800793938
78 90.023073 60.063242 0.667198308149
79 50.053381 90.051547 1.799110174
80 49.903611 70.015893 1.40302257887
81 60.096938 60.084067 0.999785829355
82 39.984573 69.948633 1.74939052119
83 70.023012 90.007584 1.28540006248
84 9.900183 10.079071 1.01806916094
85 80.002361 10.061568 0.125765888334
86 50.035893 70.092861 1.40085160467
87 9.941624 50.021296 5.03150149312
88 60.038451 50.046593 0.833575686355
89 40.037238 89.979396 2.24739268978
90 9.990933 10.075361 1.00845046203
91 19.922598 10.066265 0.505268690359
92 79.935822 39.957068 0.499864353681
93 89.98226 19.983323 0.222080696795
94 69.985256 39.961848 0.571003812574
95 90.098698 19.90217 0.220892981162
96 19.983469 69.903055 3.49804405832
97 80.003574 90.032724 1.1253587746
98 69.965589 30.018707 0.429049586076
99 49.969841 29.915416 0.598669425424
100 30.010714 50.014318 1.66654875322
101 49.97358 30.013024 0.600577825323
102 30.084231 79.993531 2.65898540003
103 30.082387 59.963047 1.99329418241
104 90.065079 89.989583 0.999161761686
105 39.928654 40.069337 1.00352335944
106 70.069729 80.061538 1.14259808255
107 29.971284 30.080763 1.00365279646
108 50.06503 80.094385 1.59980699103
109 9.91329 90.004812 9.07920700393
110 70.067207 39.948467 0.57014498951
111 79.979816 20.041474 0.250581646749
112 19.965752 89.95199 4.50531440038
113 40.015321 89.91908 2.24711629828
114 30.024362 49.987442 1.66489606007
115 29.981385 49.999783 1.66769423761
116 30.041135 79.993692 2.6628052502
117 39.951523 70.003318 1.75220649285
118 30.077069 20.077022 0.66751923201
119 39.998188 70.074585 1.75194398806
120 60.098137 29.98649 0.498958728122
121 39.95627 19.954369 0.499405199735
122 9.967228 69.98835 7.02184699698
123 39.970635 39.916751 0.998651910334
124 89.946487 90.069134 1.0013635552
125 50.089992 39.978268 0.79812885576
126 19.977787 60.027572 3.00471578759
127 9.977392 89.931865 9.01356436632
128 70.01631 50.040231 0.714693919174
129 80.062462 50.016698 0.624720958494
130 10.024867 39.905906 3.98069181367
131 20.000999 50.084671 2.50410846978
132 69.942093 79.91535 1.14259305909
133 19.991075 10.062564 0.503352821196
134 39.937502 89.990683 2.2532877244
135 40.033579 10.026123 0.250442834502
136 59.926675 70.055039 1.16901261417
137 90.041462 89.939642 0.998869187619
138 89.910804 70.010166 0.778662439722
139 19.936007 30.003856 1.50500829981
140 89.926839 39.973376 0.444509964372
141 39.989533 79.945561 1.99916215576
142 30.066174 20.000988 0.665232230745
143 29.974555 90.030321 3.00355821796
