Number Energy PSNR
1 15.612658 17.8575
2 16.0607794 12.7267
3 13.2421496 11.2902
4 12.6220384 13.1073
5 12.4317916 15.7106
6 13.0072108 19.6164
7 11.3168798 15.7002
8 10.8985532 14.2212
9 10.5092402 16.3448
10 10.1200168 18.8618
11 13.5511174 22.0467
12 13.2611716 13.2017
13 12.9551714 12.002
14 13.2844906 13.2011
15 12.231943 16.1029
16 11.9277408 22.0185
17 11.1990692 15.3749
18 10.7644808 14.0139
19 10.4131376 16.1901
20 9.977976 18.5289
21 14.7536792 19.0171
22 13.5916978 12.6127
23 13.3113832 11.7237
24 12.7312032 12.0362
25 12.2441792 14.091
26 11.5845064 17.0005
27 11.1725154 13.5473
28 10.7921612 12.8075
29 10.5351046 14.1319
30 10.1017324 16.2242
31 13.9492314 18.7582
32 13.4153322 12.2684
33 13.0588754 11.432
34 12.9030166 13.1237
35 12.4405378 15.7928
36 11.6614654 20.6333
37 11.0250786 15.7237
38 10.8792514 14.3062
39 10.4953178 16.3311
40 10.0329458 19.747
41 13.3233916 14.2414
42 13.2384324 10.9742
43 12.9430298 0
44 12.3520748 11.9414
45 12.116473 13.5299
46 11.4465084 15.6422
47 11.8037332 13.6909
48 10.9434104 13.2865
49 10.0403306 14.6331
50 9.7120648 15.9138
51 13.3946796 18.7029
52 13.2991694 12.5398
53 13.1454186 11.4061
54 12.7368732 13.1279
55 12.9321028 15.7929
56 11.6979916 20.8231
57 10.966079 15.7301
58 10.7968638 14.3093
59 10.513479 16.2879
60 10.1002004 19.9465
61 13.3142666 22.5972
62 13.3602548 13.1701
63 13.0451884 11.9732
64 12.5042176 13.2213
65 11.9994082 16.1678
66 11.6245928 23.5583
67 11.1358718 15.4082
68 10.7113652 14.103
69 10.2939896 16.0201
70 9.97019 22.1943
71 13.4105668 19.3351
72 13.3773522 12.6036
73 14.1856336 11.7075
74 13.2339776 12.046
75 12.2167056 14.1018
76 11.8141526 17.3652
77 11.3131566 13.5768
78 10.804372 12.9163
79 10.353031 14.1872
80 9.9778234 16.759
81 13.6389264 18.8084
82 13.3451934 12.2748
83 13.2617284 11.4941
84 12.6992704 13.1464
85 12.1945076 15.7798
86 11.667822 21.1548
87 11.2941056 15.7461
88 10.8458128 14.3966
89 10.347064 16.2631
90 10.0514678 20.2736
91 13.3135572 14.2369
92 13.1786222 10.9639
93 12.8624424 10.2484
94 12.2642672 11.9621
95 11.8616684 13.4788
96 11.569027 15.7424
97 10.9871142 13.6893
98 10.5037992 13.3093
99 10.0690038 14.5887
100 10.1231414 16.0106
101 13.5123244 18.7882
102 13.1449408 12.6289
103 13.0738854 11.5748
104 12.7237114 12.8368
105 12.2506916 15.4295
106 11.680703 19.7709
107 11.2740094 15.1268
108 10.6572252 12.7401
109 10.437366 14.6419
110 10.07795 17.1433
111 13.5426604 22.6937
112 13.3314504 13.267
113 12.97896 12.2057
114 12.6487044 12.5889
115 11.9791836 15.1719
116 11.6212566 19.4679
117 11.1036506 15
118 10.7382874 13.6087
119 10.3674264 14.6051
120 9.964395 17.7864
121 14.499228 19.3874
122 14.06269 12.7305
123 13.3017206 12.0672
124 12.6360824 11.5841
125 12.2962962 13.4809
126 11.6364066 16.8892
127 11.1628118 13.2549
128 10.8991528 12.4614
129 10.5138362 12.9874
130 10.1151382 15.3081
131 13.8624772 18.951
132 13.5032498 12.4087
133 13.342873 11.5493
134 12.6854008 12.8523
135 12.1071612 15.4136
136 11.4736426 19.8643
137 11.0834982 15.1217
138 10.835958 12.7358
139 10.2921336 15.1062
140 9.9950002 17.153
141 13.0902362 14.2291
142 13.0736842 11.0868
143 12.6203214 0
144 12.1165616 12.0265
145 11.953089 13.6407
146 11.2971986 15.8644
147 10.8048592 13.8264
148 10.5389134 12.6163
149 10.169878 13.5869
150 9.686538 15.3349
151 13.7457636 18.2877
152 13.4251612 12.5414
153 13.3200084 11.6089
154 13.1414778 13.0813
155 12.7693998 15.6851
156 12.1728584 21.2139
157 12.5666644 15.5456
158 11.1651126 14.3787
159 11.0172166 16.1484
160 10.5417114 19.7007
161 13.8719222 21.2889
162 13.580334 13.206
163 13.6039384 12.1267
164 13.0110168 12.974
165 12.2746794 15.7947
166 12.8420218 22.2054
167 12.190814 15.5996
168 11.2988096 14.6836
169 10.7459402 16.6544
170 10.3623188 20.1638
171 14.0541736 18.34
172 13.5775328 12.7656
173 13.5927954 11.9555
174 13.461599 12.0738
175 12.959262 14.104
176 12.0486458 17.5642
177 11.532283 13.8703
178 11.2368854 13.1517
179 10.993592 14.4379
180 10.5773508 17.2278
181 13.7785672 17.602
182 13.7204596 12.297
183 13.2862538 11.7047
184 13.0027952 13.093
185 13.0648678 15.6759
186 12.2713944 21.2425
